"_id","skills","title","description"
"5ca265d3254206425406a6e3","[{""_id"":""5c9432c8fcd19c01b05aaf42"",""name"":""Express.js"",""__v"":0},{""_id"":""5c9428331f48eb2b18d23ea4"",""name"":""Node.js"",""description"":"""",""__v"":0}]","Scrummy","No Description Available For The Moment"
"5ca266d0254206425406a6e4","[]","ProjectDT","No Description Available For The Moment"
"5ca26701254206425406a6e5","[]","ProjectDM","No Description Available For The Moment"
"5ca2671c254206425406a6e6","[]","ProjectDH","No Description Available For The Moment"
"5ca26739254206425406a6e7","[]","ProjectDA","No Description Available For The Moment"
"5ca2674d254206425406a6e8","[]","ProjectDL","No Description Available For The Moment"
"5ca61a985679952c844ea3dd","[{""_id"":""5c9428331f48eb2b18d23ea4"",""name"":""Node.js"",""description"":"""",""__v"":0},{""_id"":""5c9432c8fcd19c01b05aaf42"",""name"":""Express.js"",""__v"":0}]","HR Solution","No Description Available For The Moment"
"5cbff1725cbd39378899e5c0","[]","Project56","No Description Available For The Moment"
"5cbffc62f0bcfe0e38e8bbd0","[]","Project566","No Description"
"5cbffd1085ae931f5cb453e1","[]","Project684","No Description"
"5cc27b63b4f6bf04e83871ac","[]","Project RH","No Description."
"5cc2c11ce81eff172408b0e4","[]","Project SC","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean et enim luctus, congue massa at, egestas lacus. In dolor urna, viverra quis ligula eu, tempor ultricies est. Aliquam vestibulum nec lacus euismod facilisis. Donec vulputate tortor eget urna facilisis condimentum. Pellentesque consectetur risus sed augue facilisis, quis consectetur mi placerat. Cras congue nibh a mauris elementum, vel volutpat ante sodales. Nulla rhoncus porttitor mauris vitae lobortis. Nulla rhoncus ultricies enim vestibulum commodo. Suspendisse in luctus odio. Mauris ac fermentum nibh."
